,name,year,runtime,certificate,genre,rating,url,movie_id,nudity,nudity_none,nudity_mild,nudity_moderate,nudity_severe,violence,violence_none,violence_mild,violence_moderate,violence_severe,profanity,profanity_none,profanity_mild,profanity_moderate,profanity_severe,alcohol,alcohol_none,alcohol_mild,alcohol_moderate,alcohol_severe,frightening,frightening_none,frightening_mild,frightening_moderate,frightening_severe
486,Hanna,(2011),111 min,PG-13,"Action, Drama, Thriller",6.8,http://www.imdb.com/title/tt0993842/,tt0993842,Severe,0,1,0,1,Severe,0,0,0,1,Severe,0,0,0,1,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
487,Insidious,(I) (2010),103 min,PG-13,"Horror, Mystery, Thriller",6.8,http://www.imdb.com/title/tt1591095/,tt1591095,None,10,0,0,0,Moderate,0,2,7,0,Moderate,0,4,2,2,None,8,0,0,0,Severe,0,0,1,8
488,Kung Fu Panda 2,(2011),90 min,PG,"Animation, Action, Adventure",7.3,http://www.imdb.com/title/tt1302011/,tt1302011,None,2,0,0,0,Mild,0,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0,Moderate,0,0,1,0
489,Red Riding Hood,(2011),100 min,PG-13,"Fantasy, Horror, Mystery",5.4,http://www.imdb.com/title/tt1486185/,tt1486185,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
490,Unknown,(I) (2011),113 min,PG-13,"Action, Mystery, Thriller",6.9,http://www.imdb.com/title/tt1401152/,tt1401152,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
491,Your Highness,(2011),102 min,R,"Adventure, Comedy, Fantasy",5.5,http://www.imdb.com/title/tt1240982/,tt1240982,Severe,0,0,0,1,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
492,Colombiana,(2011),108 min,PG-13,"Action, Crime, Drama",6.4,http://www.imdb.com/title/tt1657507/,tt1657507,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
493,Extremely Loud & Incredibly Close,(2011),129 min,PG-13,"Adventure, Drama, Mystery",6.9,http://www.imdb.com/title/tt0477302/,tt0477302,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
494,Killer Elite,(2011),116 min,R,"Action, Crime, Thriller",6.5,http://www.imdb.com/title/tt1448755/,tt1448755,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Moderate,0,0,1,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
495,The Muppets,(2011),103 min,PG,"Adventure, Comedy, Family",7.1,http://www.imdb.com/title/tt1204342/,tt1204342,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
496,Puss in Boots,(2011),90 min,PG,"Animation, Action, Adventure",6.7,http://www.imdb.com/title/tt0448694/,tt0448694,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
497,Tower Heist,(2011),104 min,PG-13,"Action, Comedy, Crime",6.2,http://www.imdb.com/title/tt0471042/,tt0471042,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
498,War Horse,(2011),146 min,PG-13,"Drama, War",7.2,http://www.imdb.com/title/tt1568911/,tt1568911,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
499,Act of Valor,(2012),110 min,R,"Action, Adventure, Drama",6.5,http://www.imdb.com/title/tt1591479/,tt1591479,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
500,The Cold Light of Day,(2012),93 min,PG-13,"Action, Thriller",4.9,http://www.imdb.com/title/tt1366365/,tt1366365,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
501,Frankenweenie,(2012),87 min,PG,"Animation, Comedy, Family",7,http://www.imdb.com/title/tt1142977/,tt1142977,Be the first to evaluate this category,0,0,0,0,Mild,0,1,0,0,None,1,0,0,0,None,1,0,0,0,Severe,0,0,0,1
502,Gone,(I) (2012),94 min,PG-13,"Drama, Mystery, Thriller",5.9,http://www.imdb.com/title/tt1838544/,tt1838544,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
503,Journey 2: The Mysterious Island,(2012),94 min,PG,"Action, Adventure, Comedy",5.8,http://www.imdb.com/title/tt1397514/,tt1397514,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
504,The Lucky One,(2012),101 min,PG-13,"Drama, Romance",6.5,http://www.imdb.com/title/tt1327194/,tt1327194,Moderate,0,0,1,0,Moderate,0,0,1,0,Mild,0,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0
505,Mirror Mirror,(I) (2012),106 min,PG,"Adventure, Comedy, Drama",5.6,http://www.imdb.com/title/tt1667353/,tt1667353,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
506,Paranormal Activity 4,(2012),88 min,R,Horror,4.6,http://www.imdb.com/title/tt2109184/,tt2109184,Mild,0,1,0,0,Mild,0,1,0,0,Moderate,0,0,1,0,Mild,0,1,0,0,Moderate,0,0,1,0
507,The Possession,(I) (2012),92 min,PG-13,"Horror, Thriller",5.9,http://www.imdb.com/title/tt0431021/,tt0431021,Mild,0,1,0,0,Moderate,0,0,1,0,Mild,0,1,0,0,Mild,0,1,0,0,Moderate,0,0,1,0
508,The Raid: Redemption,(2011),101 min,R,"Action, Crime, Thriller",7.6,http://www.imdb.com/title/tt1899353/,tt1899353,None,2,0,0,0,Severe,0,0,0,2,Severe,0,0,0,2,Mild,0,2,0,0,Severe,0,0,0,2
509,Trouble with the Curve,(2012),111 min,PG-13,"Drama, Sport",6.8,http://www.imdb.com/title/tt2083383/,tt2083383,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
510,Underworld Awakening,(2012),88 min,R,"Action, Fantasy, Horror",6.4,http://www.imdb.com/title/tt1496025/,tt1496025,None,1,0,0,0,Severe,0,0,0,2,Mild,0,1,0,0,None,1,0,0,0,Mild,0,1,0,0
511,The Woman in Black,(2012),95 min,PG-13,"Drama, Fantasy, Horror",6.4,http://www.imdb.com/title/tt1596365/,tt1596365,None,1,0,0,0,Moderate,0,0,1,0,Mild,0,1,0,0,Mild,0,1,0,0,Severe,0,0,0,1
512,American Mary,(2012),103 min,R,"Drama, Horror",6.3,http://www.imdb.com/title/tt1959332/,tt1959332,Severe,0,0,0,2,Severe,0,0,0,2,Severe,0,0,0,2,Moderate,0,0,2,0,Severe,0,0,0,2
513,The World's End,(2013),109 min,R,"Action, Comedy, Sci-Fi",7,http://www.imdb.com/title/tt1213663/,tt1213663,Moderate,1,0,1,0,Moderate,0,0,1,0,Severe,0,0,0,1,Moderate,0,0,1,0,Mild,0,1,0,0
514,Erased,(2012),100 min,R,"Action, Thriller",6.1,http://www.imdb.com/title/tt1645155/,tt1645155,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
515,Lay the Favorite,(2012),94 min,R,"Comedy, Drama, Romance",4.8,http://www.imdb.com/title/tt1132449/,tt1132449,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
