,name,year,runtime,certificate,genre,rating,url
5603,High Road to China,(1983),105 min,PG,"Adventure, Drama, Romance",6,http://www.imdb.com/title/tt0085678/
5604,The Survivors,(1983),103 min,R,"Comedy, Crime, Drama",5.8,http://www.imdb.com/title/tt0086397/
5605,Two of a Kind,(1983),88 min,PG,"Comedy, Fantasy, Romance",4.8,http://www.imdb.com/title/tt0086494/
5606,Moscow on the Hudson,(1984),115 min,R,"Comedy, Drama, Romance",6.5,http://www.imdb.com/title/tt0087747/
5607,Reckless,(1984),90 min,R,"Drama, Romance, Comedy",6.2,http://www.imdb.com/title/tt0087983/
5608,The Flamingo Kid,(1984),100 min,PG-13,"Comedy, Drama, Romance",6.2,http://www.imdb.com/title/tt0087265/
5609,The River,(1984),124 min,PG-13,Drama,6.3,http://www.imdb.com/title/tt0088007/
5610,Missing in Action 2: The Beginning,(1985),100 min,R,"Action, Drama, Thriller",5.2,http://www.imdb.com/title/tt0089604/
5611,Moving Violations,(1985),90 min,PG-13,Comedy,5.7,http://www.imdb.com/title/tt0089629/
5612,52 Pick-Up,(1986),110 min,R,"Crime, Thriller",6.4,http://www.imdb.com/title/tt0090567/
5613,Brighton Beach Memoirs,(1986),108 min,PG-13,Comedy,6.9,http://www.imdb.com/title/tt0090774/
5614,King Kong Lives,(1986),105 min,PG-13,"Action, Adventure",3.8,http://www.imdb.com/title/tt0091344/
5615,The Morning After,(1986),103 min,R,"Crime, Mystery, Romance",6,http://www.imdb.com/title/tt0091554/
5616,Light of Day,(1987),107 min,PG-13,"Drama, Music",5.5,http://www.imdb.com/title/tt0093415/
5617,Hot Pursuit,(1987),93 min,PG-13,Comedy,5.8,http://www.imdb.com/title/tt0093215/
5618,Like Father Like Son,(1987),96 min,PG-13,"Comedy, Fantasy",5.1,http://www.imdb.com/title/tt0093418/
5619,Betrayed,(1988),127 min,R,"Drama, Thriller",6.3,http://www.imdb.com/title/tt0094731/
5620,Braddock: Missing in Action III,(1988),101 min,R,"Action, War",4.7,http://www.imdb.com/title/tt0094792/
5621,Return to Snowy River,(1988),99 min,PG,"Adventure, Drama, Western",6.6,http://www.imdb.com/title/tt0095993/
5622,Vibes,(1988),99 min,PG,"Adventure, Comedy, Romance",5.5,http://www.imdb.com/title/tt0096378/
5623,Flashback,(1990),108 min,R,"Action, Adventure, Comedy",6.2,http://www.imdb.com/title/tt0099581/
5624,True Believer,(1989),108 min,R,"Drama, Crime",6.7,http://www.imdb.com/title/tt0098524/
5625,Narrow Margin,(1990),97 min,R,"Action, Crime, Thriller",6.6,http://www.imdb.com/title/tt0100224/
5626,Nuns on the Run,(1990),89 min,PG-13,"Comedy, Crime",5.9,http://www.imdb.com/title/tt0100280/
5627,"Welcome Home, Roxy Carmichael",(1990),95 min,PG-13,"Comedy, Drama",5.9,http://www.imdb.com/title/tt0100911/
5628,Class Action,(1991),110 min,R,"Drama, Thriller",6.4,http://www.imdb.com/title/tt0101590/
5629,A Kiss Before Dying,(1991),94 min,R,"Crime, Mystery, Thriller",5.7,http://www.imdb.com/title/tt0102220/
5630,Once Around,(1991),115 min,R,"Comedy, Drama, Romance",6.5,http://www.imdb.com/title/tt0102590/
5631,The Butcher's Wife,(1991),107 min,PG-13,"Comedy, Fantasy",5.3,http://www.imdb.com/title/tt0101523/
5632,Delirious,(1991),96 min,PG,"Comedy, Fantasy",5.8,http://www.imdb.com/title/tt0101701/
5633,Life Stinks,(1991),92 min,PG-13,Comedy,5.8,http://www.imdb.com/title/tt0102303/
5634,Dr. Giggles,(1992),95 min,R,"Comedy, Drama, Horror",5.1,http://www.imdb.com/title/tt0104139/
5635,Mom and Dad Save the World,(1992),88 min,PG,"Adventure, Comedy, Family",5.3,http://www.imdb.com/title/tt0104905/
5636,Prelude to a Kiss,(1992),105 min,PG-13,"Comedy, Fantasy, Romance",5.6,http://www.imdb.com/title/tt0105165/
5637,A Stranger Among Us,(1992),110 min,PG-13,"Crime, Drama, Romance",5.7,http://www.imdb.com/title/tt0105483/
5638,Amos & Andrew,(1993),96 min,PG-13,"Comedy, Crime",5.6,http://www.imdb.com/title/tt0106266/
5639,Born Yesterday,(1993),100 min,PG,"Comedy, Romance",5.1,http://www.imdb.com/title/tt0106466/
5640,Guilty as Sin,(1993),107 min,R,"Crime, Drama, Thriller",5.6,http://www.imdb.com/title/tt0107057/
5641,Son of the Pink Panther,(1993),93 min,PG,"Comedy, Crime",3.8,http://www.imdb.com/title/tt0108187/
5642,Angie,(1994),107 min,R,"Comedy, Drama, Romance",5.4,http://www.imdb.com/title/tt0109129/
5643,Speechless,(1994),99 min,PG-13,"Comedy, Romance",5.7,http://www.imdb.com/title/tt0111256/
5644,The Hunted,(1995),110 min,R,"Action, Drama, Thriller",5.9,http://www.imdb.com/title/tt0113360/
5645,The Mangler,(1995),106 min,R,"Horror, Mystery",4,http://www.imdb.com/title/tt0113762/
5646,Bushwhacked,(1995),90 min,PG-13,"Adventure, Comedy, Crime",5.5,http://www.imdb.com/title/tt0112602/
5647,Destiny Turns on the Radio,(1995),102 min,R,"Crime, Comedy, Fantasy",4.5,http://www.imdb.com/title/tt0112854/
5648,Fled,(1996),98 min,R,"Action, Adventure, Crime",5.3,http://www.imdb.com/title/tt0116320/
5649,Last Dance,(1996),103 min,R,"Drama, Thriller",5.8,http://www.imdb.com/title/tt0116827/
5650,The Pallbearer,(1996),98 min,PG-13,"Comedy, Romance",4.9,http://www.imdb.com/title/tt0117283/
5651,The Stupids,(1996),94 min,PG,"Comedy, Adventure",4.1,http://www.imdb.com/title/tt0117768/
5652,The Associate,(1996),114 min,PG-13,Comedy,6.1,http://www.imdb.com/title/tt0115580/
5653,Larger Than Life,(1996),93 min,PG,"Comedy, Family",5.6,http://www.imdb.com/title/tt0116823/
5654,Buddy,(1997),84 min,PG,"Adventure, Comedy, Drama",4.8,http://www.imdb.com/title/tt0118787/
5655,Out to Sea,(1997),106 min,PG-13,"Comedy, Romance",6.1,http://www.imdb.com/title/tt0119848/
5656,Shadow Conspiracy,(1997),103 min,R,"Action, Thriller",4.9,http://www.imdb.com/title/tt0120107/
5657,Kissing a Fool,(1998),93 min,R,"Comedy, Romance",5.6,http://www.imdb.com/title/tt0120723/
